i,qp,i-period,frame index,bitcount
8,3,1,0,256672
8,3,1,1,254728
8,3,1,2,253040
8,3,1,3,256976
8,3,1,4,258016
8,3,1,5,258760
8,3,1,6,258872
8,3,1,7,260984
8,3,1,8,261456
8,3,1,9,261728
8,3,4,0,256672
8,3,4,1,172880
8,3,4,2,175048
8,3,4,3,168024
8,3,4,4,258016
8,3,4,5,169384
8,3,4,6,148384
8,3,4,7,177944
8,3,4,8,261448
8,3,4,9,161056
8,3,10,0,256672
8,3,10,1,172880
8,3,10,2,175048
8,3,10,3,168024
8,3,10,4,175696
8,3,10,5,175048
8,3,10,6,153072
8,3,10,7,181192
8,3,10,8,167376
8,3,10,9,167224
16,4,1,0,160480
16,4,1,1,157496
16,4,1,2,155224
16,4,1,3,156808
16,4,1,4,159720
16,4,1,5,160256
16,4,1,6,159856
16,4,1,7,160096
16,4,1,8,161136
16,4,1,9,161224
16,4,4,0,160480
16,4,4,1,102960
16,4,4,2,104936
16,4,4,3,96784
16,4,4,4,159728
16,4,4,5,100824
16,4,4,6,86264
16,4,4,7,107760
16,4,4,8,161144
16,4,4,9,95288
16,4,10,0,160480
16,4,10,1,102960
16,4,10,2,104936
16,4,10,3,96784
16,4,10,4,106736
16,4,10,5,106744
16,4,10,6,90584
16,4,10,7,112192
16,4,10,8,101872
16,4,10,9,104600
