i,qp,i-period,bitcount,psnr,time
8,0,1,5005072,37.39448476683903,51854
8,3,1,2581232,30.843323597658063,55120
8,6,1,948832,26.929313558735636,55357
8,9,1,282944,16.95093199380441,54526
16,1,1,3924264,33.71118886587472,91108
16,4,1,1592296,30.066031769317743,91207
16,7,1,501968,24.229702556065675,91451
16,10,1,92608,15.59683166380329,93647
8,0,4,4248032,37.89925660880739,51050
8,3,4,1948856,30.91650399744273,48178
8,6,4,489552,26.6860383529947,48265
8,9,4,160072,18.06395553695795,47207
16,1,4,3398896,33.529907877779834,72751
16,4,4,1176168,29.70279143157768,72904
16,7,4,264592,23.14754249854208,74400
16,10,4,54128,16.091679369537733,74027
8,0,10,4034112,37.2444616700709,47342
8,3,10,1792232,30.563375588763357,46122
8,6,10,368600,25.584343295344407,46622
8,9,10,110712,19.915693476632732,46569
16,1,10,3285280,33.6585138967238,70316
16,4,10,1087888,29.485152872897196,69518
16,7,10,220312,21.537353501767385,69557
16,10,10,39952,17.231557553803036,68055
