nRefFrames, i,qp,i-period,frame index,bitcount
1,16,4,40,0,92128
1,16,4,40,1,97488
1,16,4,40,2,29008
1,16,4,40,3,201672
1,16,4,40,4,265336
1,16,4,40,5,233624
1,16,4,40,6,293632
1,16,4,40,7,239448
1,16,4,40,8,342720
1,16,4,40,9,277096
1,16,4,40,10,241360
1,16,4,40,11,344432
1,16,4,40,12,276544
1,16,4,40,13,241184
1,16,4,40,14,345928
1,16,4,40,15,344960
1,16,4,40,16,408848
1,16,4,40,17,263056
1,16,4,40,18,353768
1,16,4,40,19,346664
1,16,4,40,20,412208
1,16,4,40,21,261216
1,16,4,40,22,355624
1,16,4,40,23,345824
1,16,4,40,24,407040
1,16,4,40,25,273880
1,16,4,40,26,253608
1,16,4,40,27,352336
1,16,4,40,28,347576
1,16,4,40,29,407768
2,16,4,40,0,92128
2,16,4,40,1,97488
2,16,4,40,2,29008
2,16,4,40,3,201216
2,16,4,40,4,30168
2,16,4,40,5,178392
2,16,4,40,6,31032
2,16,4,40,7,199376
2,16,4,40,8,244512
2,16,4,40,9,246472
2,16,4,40,10,248336
2,16,4,40,11,254528
2,16,4,40,12,255840
2,16,4,40,13,252176
2,16,4,40,14,258008
2,16,4,40,15,354464
2,16,4,40,16,284136
2,16,4,40,17,318520
2,16,4,40,18,262208
2,16,4,40,19,361944
2,16,4,40,20,286136
2,16,4,40,21,329432
2,16,4,40,22,263568
2,16,4,40,23,362184
2,16,4,40,24,370120
2,16,4,40,25,304384
2,16,4,40,26,273744
2,16,4,40,27,274552
2,16,4,40,28,360480
2,16,4,40,29,367776
3,16,4,40,0,92128
3,16,4,40,1,97488
3,16,4,40,2,29008
3,16,4,40,3,184224
3,16,4,40,4,27608
3,16,4,40,5,155424
3,16,4,40,6,30616
3,16,4,40,7,168016
3,16,4,40,8,244440
3,16,4,40,9,30168
3,16,4,40,10,173464
3,16,4,40,11,250536
3,16,4,40,12,29104
3,16,4,40,13,174688
3,16,4,40,14,251568
3,16,4,40,15,295832
3,16,4,40,16,258128
3,16,4,40,17,274752
3,16,4,40,18,272072
3,16,4,40,19,320552
3,16,4,40,20,259600
3,16,4,40,21,295920
3,16,4,40,22,275336
3,16,4,40,23,325360
3,16,4,40,24,312272
3,16,4,40,25,260224
3,16,4,40,26,273232
3,16,4,40,27,256504
3,16,4,40,28,326808
3,16,4,40,29,309984
4,16,4,40,0,92128
4,16,4,40,1,97488
4,16,4,40,2,29008
4,16,4,40,3,184224
4,16,4,40,4,27608
4,16,4,40,5,155424
4,16,4,40,6,31032
4,16,4,40,7,153264
4,16,4,40,8,244504
4,16,4,40,9,30496
4,16,4,40,10,167664
4,16,4,40,11,250776
4,16,4,40,12,29864
4,16,4,40,13,172664
4,16,4,40,14,251592
4,16,4,40,15,297184
4,16,4,40,16,31368
4,16,4,40,17,171960
4,16,4,40,18,252136
4,16,4,40,19,287936
4,16,4,40,20,32736
4,16,4,40,21,174552
4,16,4,40,22,250512
4,16,4,40,23,309160
4,16,4,40,24,274440
4,16,4,40,25,237376
4,16,4,40,26,252064
4,16,4,40,27,252664
4,16,4,40,28,290280
4,16,4,40,29,279960
