Mode,i,qp,i-period,bitcount,psnr,time
No Feature On,16,1,8,3412664,33.63405055,39757
No Feature On,16,4,8,1166848,29.67195781,39830
No Feature On,16,7,8,229176,23.57359453,39942
No Feature On,16,10,8,61248,12.97239145,40304
nRefFrame On (4),16,1,8,3362568,33.65971104,40847
nRefFrame On (4),16,4,8,1137256,29.62348759,40837
nRefFrame On (4),16,7,8,216896,24.18442461,41044
nRefFrame On (4),16,10,8,59848,11.90501977,39680
VBS On,16,1,8,4281496,37.4737676,43855
VBS On,16,4,8,1704768,30.8671758,42124
VBS On,16,7,8,390264,27.10687197,41994
VBS On,16,10,8,116704,15.2839877,42811
FME On,16,1,8,3283056,33.58194266,42781
FME On,16,4,8,1060328,29.79729287,42601
FME On,16,7,8,212992,24.58366445,41697
FME On,16,10,8,65728,13.21368028,39835
FastME On,16,1,8,3401856,33.61844852,36800
FastME On,16,4,8,1155544,29.66660459,36640
FastME On,16,7,8,235096,23.37192809,37205
FastME On,16,10,8,55136,11.42315731,38044
All Features On,16,1,8,4571976,36.82986637,62916
All Features On,16,4,8,1536920,30.73727424,59150
All Features On,16,7,8,379880,26.98322978,58549
All Features On,16,10,8,83600,13.46300813,54456
