RC,File Name,Blksize,I-Period,Frame Index,Bitcount
1,CIF_y_only.yuv,16,1,0,77320
1,CIF_y_only.yuv,16,1,1,78024
1,CIF_y_only.yuv,16,1,2,77288
1,CIF_y_only.yuv,16,1,3,84504
1,CIF_y_only.yuv,16,1,4,78152
1,CIF_y_only.yuv,16,1,5,84408
1,CIF_y_only.yuv,16,1,6,77656
1,CIF_y_only.yuv,16,1,7,74960
1,CIF_y_only.yuv,16,1,8,78408
1,CIF_y_only.yuv,16,1,9,76832
1,CIF_y_only.yuv,16,1,10,78280
1,CIF_y_only.yuv,16,1,11,78624
1,CIF_y_only.yuv,16,1,12,78600
1,CIF_y_only.yuv,16,1,13,77416
1,CIF_y_only.yuv,16,1,14,78128
1,CIF_y_only.yuv,16,1,15,77432
1,CIF_y_only.yuv,16,1,16,79200
1,CIF_y_only.yuv,16,1,17,78624
1,CIF_y_only.yuv,16,1,18,78512
1,CIF_y_only.yuv,16,1,19,79976
1,CIF_y_only.yuv,16,1,20,79056
1,CIF_y_only.yuv,16,4,0,77320
1,CIF_y_only.yuv,16,4,1,85208
1,CIF_y_only.yuv,16,4,2,90688
1,CIF_y_only.yuv,16,4,3,87024
1,CIF_y_only.yuv,16,4,4,78144
1,CIF_y_only.yuv,16,4,5,78048
1,CIF_y_only.yuv,16,4,6,80776
1,CIF_y_only.yuv,16,4,7,83144
1,CIF_y_only.yuv,16,4,8,78408
1,CIF_y_only.yuv,16,4,9,77496
1,CIF_y_only.yuv,16,4,10,79600
1,CIF_y_only.yuv,16,4,11,56584
1,CIF_y_only.yuv,16,4,12,78600
1,CIF_y_only.yuv,16,4,13,76680
1,CIF_y_only.yuv,16,4,14,84416
1,CIF_y_only.yuv,16,4,15,83640
1,CIF_y_only.yuv,16,4,16,79192
1,CIF_y_only.yuv,16,4,17,78536
1,CIF_y_only.yuv,16,4,18,86304
1,CIF_y_only.yuv,16,4,19,94520
1,CIF_y_only.yuv,16,4,20,79048
1,CIF_y_only.yuv,16,21,0,77320
1,CIF_y_only.yuv,16,21,1,85208
1,CIF_y_only.yuv,16,21,2,90688
1,CIF_y_only.yuv,16,21,3,87024
1,CIF_y_only.yuv,16,21,4,78912
1,CIF_y_only.yuv,16,21,5,91072
1,CIF_y_only.yuv,16,21,6,84640
1,CIF_y_only.yuv,16,21,7,82024
1,CIF_y_only.yuv,16,21,8,83520
1,CIF_y_only.yuv,16,21,9,90616
1,CIF_y_only.yuv,16,21,10,71496
