RC,File Name,Blksize,I-Period,Frame Index,Bitcount
1,CIF_y_only.yuv,16,1,0,79960
1,CIF_y_only.yuv,16,1,1,85880
1,CIF_y_only.yuv,16,1,2,85776
1,CIF_y_only.yuv,16,1,3,86624
1,CIF_y_only.yuv,16,1,4,81296
1,CIF_y_only.yuv,16,1,5,79352
1,CIF_y_only.yuv,16,1,6,79432
1,CIF_y_only.yuv,16,1,7,75720
1,CIF_y_only.yuv,16,1,8,75472
1,CIF_y_only.yuv,16,1,9,78264
1,CIF_y_only.yuv,16,1,10,79112
1,CIF_y_only.yuv,16,1,11,79360
1,CIF_y_only.yuv,16,1,12,78944
1,CIF_y_only.yuv,16,1,13,78528
1,CIF_y_only.yuv,16,1,14,80576
1,CIF_y_only.yuv,16,1,15,80248
1,CIF_y_only.yuv,16,1,16,80984
1,CIF_y_only.yuv,16,1,17,79816
1,CIF_y_only.yuv,16,1,18,81400
1,CIF_y_only.yuv,16,1,19,82136
1,CIF_y_only.yuv,16,1,20,82120
1,CIF_y_only.yuv,16,4,0,79960
1,CIF_y_only.yuv,16,4,1,85184
1,CIF_y_only.yuv,16,4,2,90536
1,CIF_y_only.yuv,16,4,3,83568
1,CIF_y_only.yuv,16,4,4,81296
1,CIF_y_only.yuv,16,4,5,86768
1,CIF_y_only.yuv,16,4,6,85032
1,CIF_y_only.yuv,16,4,7,81832
1,CIF_y_only.yuv,16,4,8,75472
1,CIF_y_only.yuv,16,4,9,81296
1,CIF_y_only.yuv,16,4,10,78256
1,CIF_y_only.yuv,16,4,11,84016
1,CIF_y_only.yuv,16,4,12,78936
1,CIF_y_only.yuv,16,4,13,80056
1,CIF_y_only.yuv,16,4,14,81968
1,CIF_y_only.yuv,16,4,15,83792
1,CIF_y_only.yuv,16,4,16,80992
1,CIF_y_only.yuv,16,4,17,86800
1,CIF_y_only.yuv,16,4,18,89976
1,CIF_y_only.yuv,16,4,19,84488
1,CIF_y_only.yuv,16,4,20,82120
1,CIF_y_only.yuv,16,21,0,79960
1,CIF_y_only.yuv,16,21,1,85184
1,CIF_y_only.yuv,16,21,2,90536
1,CIF_y_only.yuv,16,21,3,83568
1,CIF_y_only.yuv,16,21,4,83800
1,CIF_y_only.yuv,16,21,5,84776
1,CIF_y_only.yuv,16,21,6,87632
1,CIF_y_only.yuv,16,21,7,81920
1,CIF_y_only.yuv,16,21,8,84704
1,CIF_y_only.yuv,16,21,9,95608
1,CIF_y_only.yuv,16,21,10,91016
1,CIF_y_only.yuv,16,21,11,73656
1,CIF_y_only.yuv,16,21,12,72304
1,CIF_y_only.yuv,16,21,13,78696
1,CIF_y_only.yuv,16,21,14,81920
1,CIF_y_only.yuv,16,21,15,84024
1,CIF_y_only.yuv,16,21,16,96064
1,CIF_y_only.yuv,16,21,17,89632
1,CIF_y_only.yuv,16,21,18,90368
1,CIF_y_only.yuv,16,21,19,91416
1,CIF_y_only.yuv,16,21,20,87272
1,QCIF_y_only.yuv,16,1,0,30832
1,QCIF_y_only.yuv,16,1,1,29784
1,QCIF_y_only.yuv,16,1,2,30152
1,QCIF_y_only.yuv,16,1,3,30376
1,QCIF_y_only.yuv,16,1,4,30368
1,QCIF_y_only.yuv,16,1,5,30400
1,QCIF_y_only.yuv,16,1,6,31208
1,QCIF_y_only.yuv,16,1,7,32208
1,QCIF_y_only.yuv,16,1,8,32144
1,QCIF_y_only.yuv,16,1,9,32192
1,QCIF_y_only.yuv,16,1,10,32096
1,QCIF_y_only.yuv,16,1,11,32320
1,QCIF_y_only.yuv,16,1,12,31968
1,QCIF_y_only.yuv,16,1,13,31880
