RC,File Name,Blksize,I-Period,Frame Index,PSNR
1,CIF_y_only.yuv,16,1,0,28.8110673
1,CIF_y_only.yuv,16,1,1,28.82386325
1,CIF_y_only.yuv,16,1,2,28.70709275
1,CIF_y_only.yuv,16,1,3,28.53330193
1,CIF_y_only.yuv,16,1,4,28.98731704
1,CIF_y_only.yuv,16,1,5,29.03544496
1,CIF_y_only.yuv,16,1,6,28.67758544
1,CIF_y_only.yuv,16,1,7,33.44337946
1,CIF_y_only.yuv,16,1,8,33.4237152
1,CIF_y_only.yuv,16,1,9,33.72364195
1,CIF_y_only.yuv,16,1,10,33.38937535
1,CIF_y_only.yuv,16,1,11,33.8059358
1,CIF_y_only.yuv,16,1,12,33.52557626
1,CIF_y_only.yuv,16,1,13,33.38516025
1,CIF_y_only.yuv,16,1,14,28.40649763
1,CIF_y_only.yuv,16,1,15,28.37862397
1,CIF_y_only.yuv,16,1,16,28.75291544
1,CIF_y_only.yuv,16,1,17,28.9172642
1,CIF_y_only.yuv,16,1,18,28.800956
1,CIF_y_only.yuv,16,1,19,28.51489813
1,CIF_y_only.yuv,16,1,20,28.35746955
1,CIF_y_only.yuv,16,4,0,28.8110673
1,CIF_y_only.yuv,16,4,1,29.18498782
1,CIF_y_only.yuv,16,4,2,29.14783964
1,CIF_y_only.yuv,16,4,3,28.93565675
1,CIF_y_only.yuv,16,4,4,28.98731704
1,CIF_y_only.yuv,16,4,5,28.96043142
1,CIF_y_only.yuv,16,4,6,28.77362137
1,CIF_y_only.yuv,16,4,7,26.45214933
1,CIF_y_only.yuv,16,4,8,33.4237152
1,CIF_y_only.yuv,16,4,9,33.45623148
1,CIF_y_only.yuv,16,4,10,31.88939792
1,CIF_y_only.yuv,16,4,11,32.2597968
1,CIF_y_only.yuv,16,4,12,33.52557626
1,CIF_y_only.yuv,16,4,13,33.10338899
1,CIF_y_only.yuv,16,4,14,26.16266887
1,CIF_y_only.yuv,16,4,15,28.46678887
1,CIF_y_only.yuv,16,4,16,28.75291544
1,CIF_y_only.yuv,16,4,17,28.82992739
1,CIF_y_only.yuv,16,4,18,29.04356297
1,CIF_y_only.yuv,16,4,19,29.15281293
1,CIF_y_only.yuv,16,4,20,28.35746955
1,CIF_y_only.yuv,16,21,0,28.8110673
1,CIF_y_only.yuv,16,21,1,29.18498782
