RC,File Name,Blksize,I-Period,Frame Index,PSNR
1,CIF_y_only.yuv,16,1,0,29.119220336019282
1,CIF_y_only.yuv,16,1,1,29.084225333469
1,CIF_y_only.yuv,16,1,2,28.834916708562083
1,CIF_y_only.yuv,16,1,3,28.8477296599155
1,CIF_y_only.yuv,16,1,4,29.133714725230572
1,CIF_y_only.yuv,16,1,5,29.024741870317257
1,CIF_y_only.yuv,16,1,6,28.767675466389512
1,CIF_y_only.yuv,16,1,7,33.86810193389694
1,CIF_y_only.yuv,16,1,8,33.72052336565862
1,CIF_y_only.yuv,16,1,9,34.04594570406598
1,CIF_y_only.yuv,16,1,10,34.05321038060969
1,CIF_y_only.yuv,16,1,11,33.63974121174386
1,CIF_y_only.yuv,16,1,12,33.419243695135876
1,CIF_y_only.yuv,16,1,13,33.57108844307609
1,CIF_y_only.yuv,16,1,14,28.747313776478233
1,CIF_y_only.yuv,16,1,15,28.602661497423686
1,CIF_y_only.yuv,16,1,16,28.85426698277067
1,CIF_y_only.yuv,16,1,17,29.047092266184542
1,CIF_y_only.yuv,16,1,18,28.975366634036497
1,CIF_y_only.yuv,16,1,19,28.861438602981956
1,CIF_y_only.yuv,16,1,20,28.711783191094842
1,CIF_y_only.yuv,16,4,0,29.119220336019282
1,CIF_y_only.yuv,16,4,1,29.259523998725378
1,CIF_y_only.yuv,16,4,2,29.38454569827199
1,CIF_y_only.yuv,16,4,3,29.354015397002378
1,CIF_y_only.yuv,16,4,4,29.133714725230572
1,CIF_y_only.yuv,16,4,5,29.48517617410186
1,CIF_y_only.yuv,16,4,6,29.2603762922182
1,CIF_y_only.yuv,16,4,7,22.1722998388221
1,CIF_y_only.yuv,16,4,8,33.72052336565862
1,CIF_y_only.yuv,16,4,9,33.74901359585322
1,CIF_y_only.yuv,16,4,10,33.59644438004657
1,CIF_y_only.yuv,16,4,11,33.587775767501405
1,CIF_y_only.yuv,16,4,12,33.419243695135876
1,CIF_y_only.yuv,16,4,13,33.32961963178476
1,CIF_y_only.yuv,16,4,14,21.735310802100155
1,CIF_y_only.yuv,16,4,15,24.605106088337955
1,CIF_y_only.yuv,16,4,16,28.85426698277067
1,CIF_y_only.yuv,16,4,17,28.776330950252742
1,CIF_y_only.yuv,16,4,18,29.36813200143089
