RCflag,qp/bitrate,bitcount,psnr,time
0,3,3036792,32.833898310820146,168058
0,6,781008,27.831297171067384,166395
0,9,190928,22.236925339529183,161998
1,7000000,4620552,33.3946916286985,166470
1,2400000,1704408,28.770547771821708,167447
1,360000,293144,18.94367915484351,156970
2,7000000,4424120,36.923889227707406,334372
2,2400000,1538816,31.390601976556788,321694
2,360000,215376,23.87683843039543,337340
3,7000000,4316720,36.713782041367494,305143
3,2400000,1469184,31.008066018898937,315237
3,360000,190176,22.8384993895253,339151
